DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,MEASURE_NAME,VALUE_NAME,TSEST_NAME,FREQ_NAME,OBS_STATUS_NAME,UNIT_MEASURE_NAME,UNIT_MULT_NAME
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-05,332363,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-06,266982,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-07,294907,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-08,372781,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-09,295464,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-10,347595,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-11,399418,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1996-12,346188,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-01,362843,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-02,473560,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-03,409696,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-04,442366,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-05,389540,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-06,477411,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-07,435253,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,2,M,1997-08,444207,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
